采样时间,设备名称,卷标,分区1,分区2,分区3,分区4,分区5,分区6,分区7,分区8,分区9,分区10,分区11,纵向趋势,传动侧厚度,操作侧厚度
[2022/7/28 23:36:51],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:37:05],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:37:18],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:37:32],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:37:47],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:38:00],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:38:14],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:38:28],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2022/7/28 23:38:42],XYR0001,1,0,0,0,0,0,0,0,0,0,98.32489,97.36106,97.84297,0,11.79899
[2022/7/28 23:38:56],XYR0001,1,99.55202,99.55752,100.1219,100.265,100.5993,100.1047,99.74192,99.19531,99.28352,98.81812,97.29385,99.50302,60.08157,64.37682
[2022/7/28 23:39:10],XYR0001,1,99.66098,99.88035,100.0444,100.3309,100.4214,99.96722,99.47343,99.19157,99.16487,98.99851,97.53447,99.51529,84.13419,85.3662
[2022/7/28 23:39:24],XYR0001,1,99.75594,99.74418,100.1687,100.2772,100.5504,100.0319,99.70518,99.17696,99.25758,99.08138,97.40086,99.55911,93.76475,93.81684
[2022/7/28 23:39:38],XYR0001,1,99.75452,99.88362,100.0039,100.1733,100.3528,99.88432,99.40592,99.10936,99.19718,99.21035,96.93643,99.44653,97.56794,97.14359
[2022/7/28 23:39:51],XYR0001,1,99.62574,99.89948,99.88992,100.2453,100.2301,100.0552,99.40617,99.31345,99.11195,99.1937,96.84563,99.43787,99.06688,98.5071
[2022/7/28 23:40:05],XYR0001,1,99.93279,99.74551,99.92731,99.9438,100.2657,99.7321,99.35648,99.02267,99.25529,99.19287,97.43839,99.43753,99.60911,98.98996
[2022/7/28 23:40:19],XYR0001,1,100.0352,99.59333,100.0289,99.82804,100.4036,99.66512,99.56536,98.97923,99.28965,99.14561,97.43821,99.45203,99.82172,99.19338
[2022/7/28 23:40:33],XYR0001,1,99.85702,99.8905,99.81126,99.99039,100.0784,99.75859,99.09628,99.02132,99.00147,99.10085,97.44217,99.36802,99.89427,99.19477
[2022/7/28 23:40:47],XYR0001,1,99.96504,99.72018,99.92925,99.96751,100.1561,99.72978,99.30809,98.97141,99.03305,99.18429,97.29336,99.38711,99.92367,99.22511
[2022/7/28 23:41:00],XYR0001,1,100.1424,99.64731,99.98744,99.82699,100.1979,99.51205,99.11945,98.82532,98.9104,99.13715,97.12679,99.31211,99.9184,99.15057
[2022/7/28 23:41:14],XYR0001,1,99.87607,99.85124,99.77062,100.0713,100.1298,99.76809,99.18453,98.97716,98.8847,99.12168,97.03534,99.33367,99.9408,99.17257
[2022/7/28 23:41:29],XYR0001,1,100.0298,99.62695,99.91644,99.78207,100.1927,99.4787,99.22285,98.75033,99.11378,98.96495,97.42209,99.31824,99.90405,99.13271
[2022/7/28 23:41:43],XYR0001,1,99.73036,99.84119,99.62973,100.0647,99.99334,99.79034,99.16328,99.03001,98.9656,99.16331,96.95481,99.30242,99.89096,99.18659
[2022/7/28 23:41:56],XYR0001,1,100.0666,99.75188,99.86808,99.82682,100.147,99.38391,99.1957,98.67708,99.06483,99.11793,97.38635,99.31693,99.89545,99.12737
[2022/7/28 23:42:10],XYR0001,1,100.2259,99.57114,100.0558,99.772,100.3224,99.37585,99.47935,98.62836,99.18037,99.15465,97.40405,99.37907,99.91638,99.14918
[2022/7/28 23:42:24],XYR0001,1,99.86852,99.84645,99.83679,99.93346,99.94665,99.58046,99.00426,98.85802,98.88702,99.31764,97.0313,99.28278,99.90105,99.13736
[2022/7/28 23:42:38],XYR0001,1,99.81612,99.91987,99.74598,100.1127,99.92384,99.85182,99.04591,99.11371,98.82784,99.44218,97.23773,99.36706,99.91578,99.20872
[2022/7/28 23:42:52],XYR0001,1,100.0558,99.56525,99.88879,99.74244,100.1474,99.40025,99.13116,98.76362,98.99886,99.22874,97.66524,99.32614,99.86789,99.14621
[2022/7/28 23:43:05],XYR0001,1,100.1013,99.62843,99.8858,99.84902,100.2229,99.55791,99.37241,98.81431,99.14809,99.21391,97.69837,99.40842,99.88507,99.19128
[2022/7/28 23:43:19],XYR0001,1,99.9501,99.77193,99.67134,99.93619,99.90405,99.66637,98.89227,98.91697,98.936,99.23212,97.59564,99.31572,99.84656,99.15376
